empresa,marca,empreendimento,cliente,regional,obra,bloco,unidade,dt_venda,dt_chaves,carteira_sd_gerencial,saldo_devedor,data_base,total_atraso,faixa_de_atraso,dias_atraso,valor_pago_atualizado,valor_pago,status,dt_reneg,descosn,vaga,vgv
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 1,São Paulo,8312,01,000118,31/03/2021,01/07/2023,403807,403807.31,30/04/2021,0,0,-32,301200.45,30275.75,,,,,434083.06
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 2,São Paulo,8312,01,000208,31/08/2020,01/07/2023,551115,551115.05,30/04/2021,0,0,-32,194088.88,179156.54,,,,,730271.59
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 3,São Paulo,8312,01,000212,16/11/2020,01/07/2023,362793,362792.5,30/04/2021,0,0,-32,87043.19,81860.36,,,,,444652.86
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 4,São Paulo,8312,01,000220,29/12/2020,01/07/2023,444075,444074.58,30/04/2021,0,0,-32,27406.76,26850.52,,,,,470925.1
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 5,São Paulo,8312,01,000304,10/09/2020,01/07/2023,274206,274206.06,30/04/2021,0,0,-32,152861.05,147521.52,,,,,421727.58
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 6,São Paulo,8312,01,000305,14/09/2020,01/07/2023,434649,434649.18,30/04/2021,0,0,-32,33091.8,30644.31,,,,,465293.49
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 7,São Paulo,8312,01,000311,31/08/2020,01/07/2023,397641,397641.02,30/04/2021,0,0,-32,53833.4,49549.54,,,,,447190.56
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 8,São Paulo,8312,01,000312,30/09/2020,01/07/2023,439538,439538.18,30/04/2021,0,0,-32,24798.72,23765.07,,,,,463303.25
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 9,São Paulo,8312,01,000313,31/08/2020,01/07/2023,280373,280373.12,30/04/2021,0,0,-32,152197.9,138957.47,,,,,419330.59
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 10,São Paulo,8312,01,000315,25/08/2020,01/07/2023,425113,425112.83,30/04/2021,0,0,-32,32826.92,31003.69,,,,,456116.52
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 11,São Paulo,8312,01,000317,25/08/2020,01/07/2023,425113,425112.79,30/04/2021,0,0,-32,32793.54,30944.92,,,,,456057.71
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 12,São Paulo,8312,01,000320,10/09/2020,01/07/2023,251027,251026.73,30/04/2021,0,0,-32,183886.72,170294.22,,,,,421320.95
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 13,São Paulo,8312,01,000321,18/09/2020,01/07/2023,359276,359275.61,30/04/2021,0,0,-32,77065.5,73456.06,,,,,432731.67
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 14,São Paulo,8312,01,000322,10/09/2020,01/07/2023,251027,251026.73,30/04/2021,0,0,-32,183886.72,170294.22,,,,,421320.95
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 15,São Paulo,8312,01,000401,28/10/2020,01/07/2023,543020,543020.45,30/04/2021,0,0,-32,39871.34,38111.1,,,,,581131.55
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 16,São Paulo,8312,01,000407,30/11/2020,01/07/2023,602854,602853.77,30/04/2021,0,0,-32,76730.34,74871.49,,,,,677725.26
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 17,São Paulo,8312,01,000422,16/09/2020,01/07/2023,419245,419244.74,30/04/2021,0,0,-32,31439.73,30007.81,,,,,449252.55
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 18,São Paulo,8312,01,000501,22/09/2020,01/07/2023,517198,517197.52,30/04/2021,0,0,-32,39140.64,37019.77,,,,,554217.29
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 19,São Paulo,8312,01,000502,31/08/2020,01/07/2023,249498,249497.85,30/04/2021,0,0,-32,177891.73,165138.72,,,,,414636.57
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 20,São Paulo,8312,01,000516,15/09/2020,01/07/2023,363676,363676.14,30/04/2021,0,0,-32,72036.85,67878.46,,,,,431554.6
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 21,São Paulo,8312,01,000517,22/09/2020,01/07/2023,425428,425428,30/04/2021,0,0,-32,30172.12,28954.14,,,,,454382.14
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 22,São Paulo,8312,01,000519,22/09/2020,01/07/2023,425428,425428,30/04/2021,0,0,-32,30172.12,28954.14,,,,,454382.14
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 23,São Paulo,8312,01,000520,31/08/2020,01/07/2023,404920,404920.05,30/04/2021,0,0,-32,52206.26,50064.27,,,,,454984.32
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 24,São Paulo,8312,01,000524,22/09/2020,01/07/2023,552141,552141.43,30/04/2021,0,0,-32,40839.89,38832.36,,,,,590973.79
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 25,São Paulo,8312,01,000604,18/09/2020,01/07/2023,421679,421678.92,30/04/2021,0,0,-32,23498.62,22488.79,,,,,444167.71
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 26,São Paulo,8312,01,000614,22/08/2020,01/07/2023,279660,279659.99,30/04/2021,0,0,-32,143952.7,132101.82,,,,,411761.81
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 27,São Paulo,8312,01,000616,22/08/2020,01/07/2023,279660,279659.99,30/04/2021,0,0,-32,143952.7,132101.82,,,,,411761.81
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 28,São Paulo,8312,01,000618,19/08/2020,01/07/2023,279660,279659.99,30/04/2021,0,0,-32,144013.99,132181.01,,,,,411841
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 29,São Paulo,8312,01,000620,19/08/2020,01/07/2023,279660,279659.99,30/04/2021,0,0,-32,144013.99,132181.01,,,,,411841
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 30,São Paulo,8312,01,000621,21/09/2020,01/07/2023,331333,331333.22,30/04/2021,0,0,-32,117265.04,109120.14,,,,,440453.36
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 31,São Paulo,8312,01,000624,20/08/2020,01/07/2023,456793,456792.65,30/04/2021,0,0,-32,99876.96,91342.61,,,,,548135.26
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 32,São Paulo,8312,01,000701,25/08/2020,01/07/2023,520659,520659.03,30/04/2021,0,0,-32,41350.92,38727.49,,,,,559386.52
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 33,São Paulo,8312,01,000704,31/08/2020,01/07/2023,397079,397079.11,30/04/2021,0,0,-32,43404.94,41565.5,,,,,438644.61
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 34,São Paulo,8312,01,000706,31/08/2020,01/07/2023,397079,397079.11,30/04/2021,0,0,-32,43427.56,41587.7,,,,,438666.81
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 35,São Paulo,8312,01,000709,15/09/2020,01/07/2023,637367,637367.09,30/04/2021,0,0,-32,48804.64,46355.44,,,,,683722.53
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 36,São Paulo,8312,01,000712,31/10/2020,01/07/2023,151591,151591.19,30/04/2021,0,0,-32,286238.46,272556.04,,,,,424147.23
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 37,São Paulo,8312,01,000719,14/10/2020,01/07/2023,189661,189660.64,30/04/2021,0,0,-32,262934.12,244053.17,,,,,433713.81
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 38,São Paulo,8312,01,000721,22/10/2020,01/07/2023,432459,432459.04,30/04/2021,0,0,-32,27398.16,26192.37,,,,,458651.41
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 39,São Paulo,8312,01,000724,18/08/2020,01/07/2023,511105,511105.11,30/04/2021,0,0,-32,54688.84,51220.47,,,,,562325.58
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 40,São Paulo,8312,01,000806,31/08/2020,01/07/2023,399581,399580.61,30/04/2021,0,0,-32,43179.51,41311.69,,,,,440892.3
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 41,São Paulo,8312,01,000811,20/10/2020,01/07/2023,456274,456274.34,30/04/2021,0,0,-32,32064.94,30669.46,,,,,486943.8
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 42,São Paulo,8312,01,000812,15/08/2020,01/07/2023,158039,158038.57,30/04/2021,0,0,-32,237508.24,217827.17,,,,,375865.74
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 43,São Paulo,8312,01,000814,15/08/2020,01/07/2023,158039,158038.57,30/04/2021,0,0,-32,237508.24,217827.17,,,,,375865.74
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 44,São Paulo,8312,01,000816,25/08/2020,01/07/2023,158068,158068.31,30/04/2021,0,0,-32,237642.97,217882.08,,,,,375950.39
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 45,São Paulo,8312,01,000818,31/08/2020,01/07/2023,355679,355678.87,30/04/2021,0,0,-32,96753.49,90165.62,,,,,445844.49
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 46,São Paulo,8312,01,000821,30/09/2020,01/07/2023,398322,398322.09,30/04/2021,0,0,-32,82563.62,77774.17,,,,,476096.26
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 47,São Paulo,8312,01,000824,31/10/2020,01/07/2023,466336,466335.8,30/04/2021,0,0,-32,57935.05,54726.61,,,,,521062.41
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 48,São Paulo,8312,01,000902,31/08/2020,01/07/2023,258558,258557.65,30/04/2021,0,0,-32,177613.8,164885.92,,,,,423443.57
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 49,São Paulo,8312,01,000907,31/08/2020,01/07/2023,674895,674895.13,30/04/2021,0,0,-32,20837.98,19544.52,,,,,694439.65
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 50,São Paulo,8312,01,000909,15/09/2020,01/07/2023,643715,643715.29,30/04/2021,0,0,-32,49674.53,46852.46,,,,,690567.75
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 51,São Paulo,8312,01,000911,25/08/2020,01/07/2023,449007,449007.37,30/04/2021,0,0,-32,33466.33,31597.71,,,,,480605.08
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 52,São Paulo,8312,01,000917,30/09/2020,01/07/2023,433236,433235.79,30/04/2021,0,0,-32,33582.64,32119.38,,,,,465355.17
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 53,São Paulo,8312,01,000919,24/08/2020,01/07/2023,147454,147454.22,30/04/2021,0,0,-32,242655.42,221439.36,,,,,368893.58
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 54,São Paulo,8312,01,000921,24/08/2020,01/07/2023,147454,147454.22,30/04/2021,0,0,-32,242655.43,221439.36,,,,,368893.58
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 55,São Paulo,8312,01,000923,24/08/2020,01/07/2023,162674,162674.48,30/04/2021,0,0,-32,242188.07,221014.26,,,,,383688.74
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 56,São Paulo,8312,01,000924,24/08/2020,01/07/2023,174260,174259.56,30/04/2021,0,0,-32,304889.81,280879.01,,,,,455138.57
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 57,São Paulo,8312,01,001007,27/10/2020,01/07/2023,404994,404994.07,30/04/2021,0,0,-32,259691.03,243892.75,,,,,648886.82
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 58,São Paulo,8312,01,001012,30/11/2020,01/07/2023,181631,181630.62,30/04/2021,0,0,-32,240334.2,230277.65,,,,,411908.27
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 59,São Paulo,8312,01,001018,21/09/2020,01/07/2023,262931,262930.86,30/04/2021,0,0,-32,157794.17,148802.51,,,,,411733.37
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 60,São Paulo,8312,01,001102,31/08/2020,01/07/2023,263735,263735.19,30/04/2021,0,0,-32,177454.82,164741.32,,,,,428476.51
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 61,São Paulo,8312,01,001106,31/08/2020,01/07/2023,229817,229816.86,30/04/2021,0,0,-32,207765.56,196546.36,,,,,426363.22
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 62,São Paulo,8312,01,001207,31/08/2020,01/07/2023,653276,653275.84,30/04/2021,0,0,-32,50426.85,47971.4,,,,,701247.24
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 63,São Paulo,8312,01,001309,31/08/2020,01/07/2023,585402,585402.13,30/04/2021,0,0,-32,109906,103104.85,,,,,688506.98
2067,CYRELA,CYRELA FOR YOU MOEMA,CLIENTE 64,São Paulo,8312,01,001409,27/11/2020,01/07/2023,192691,192690.62,30/04/2021,0,0,-32,469356.03,447796.72,,,,,640487.34
0661,CYRELA,CYRELA FOR YOU,CLIENTE 65,São Paulo,2339,01,000113,11/02/2020,01/12/2022,261465,261465.26,30/04/2021,0,0,-32,44777.75,41826.94,,,,,303292.2
0661,CYRELA,CYRELA FOR YOU,CLIENTE 66,São Paulo,2339,01,000202,28/11/2019,01/12/2022,550834,550833.7,30/04/2021,0,0,-32,78437.4,72010.42,,,,,622844.12
0661,CYRELA,CYRELA FOR YOU,CLIENTE 67,São Paulo,2339,01,000209,16/12/2019,01/12/2022,233269,233268.91,30/04/2021,0,0,-32,206331.2,187864.63,,,,,421133.54
0661,CYRELA,CYRELA FOR YOU,CLIENTE 68,São Paulo,2339,01,000213,25/11/2019,01/12/2022,265389,265389.01,30/04/2021,0,0,-32,51022.91,46871.38,,,,,312260.39
